babilidad y estadística
ANEXOS                EJERCICIO INTEGRADOR BLOQUES 1, 2,3 Y 4
Entidades federativas de estados Unidos Mexicanos
Estados Unidos Mexicanos: 1’967,183 Km^2
Fuente: Instituto Nacional de Estadística, Geografía e Informática.
No.	Estado	               capital	        Superficie en kilómetros cuadrados
1       Aguascalientes	      Aguascalientes	           5,589      
2       Baja california	      Mexicali	                  70,113
3       Baja california sur   La paz	                  73,677
4       Campeche	      Campeche	                  51,833
5       Coahuila de Zaragoza  Saltillo	                 151,571
6       Colima	              Colima	                   5,455
7       Chiapas	              Tuxtla Gutiérrez	          73,887
8       Chihuahua	      Chihuahua	                 247,087
9       Distrito federal      Ciudad de México 	            1,499
10      Durango	              Victoria de Durango          73,677
11      Guanajuato	      Guanajuato	           30,589
12      Guerrero	      Chilpancingo de Bravo        63,794  
13      Hidalgo	              Pachuca de soto	           20,987     
14      Jalisco	              Guadalajara	           80,137
15      México	              Toluca de Lerdo	           21,461  
16      Michoacán de Ocampo   Morelia	                   59,864
17      Morelos	              Cuernavaca	            4,941
18      Nayarit	              Tepic	                   27,621
19      Nuevo león 	      Monterrey	                   64,555
20      Oaxaca	             Oaxaca de Juárez	           95,364
21      Puebla	             Heroica Puebla de Zaragoza	   33,919
22      Querétaro de Arteaga Santiago de Querétaro	   11,769
23      Quintana Roo	     Chetumal	                   50,350
24      San Luis Potosí      San Luis Potosí	           62,848
25      Sinaloa	             Culiacán Rosales 	           58,092
26      Sonora	             Hermosillo	                   184,934
27      Tabasco	             Villahermosa	            24,661
28      Tamaulipas	     Ciudad Victoria	            79,829
29      Tlaxcala	     Tlaxcala de Xicoténcatl	     3,914
30      Veracruz Llave	     Xalapa de Enríquez	            72,815
31      Yucatán	             Mérida	                    39,340
32      Zacatecas	     Zacatecas	                    75,040
                             total	                 1’967,183

108
